cbsa_code,cbsa_title,cbsa_type,primary_state,state_list
10100,"Aberdeen, SD",micro,SD,SD
10140,"Aberdeen, WA",micro,WA,WA
10180,"Abilene, TX",metro,TX,TX
10220,"Ada, OK",micro,OK,OK
10300,"Adrian, MI",micro,MI,MI
10380,"Aguadilla, PR",metro,PR,PR
10420,"Akron, OH",metro,OH,OH
10460,"Alamogordo, NM",micro,NM,NM
10480,"Alamosa, CO",micro,CO,CO
10500,"Albany, GA",metro,GA,GA
10540,"Albany, OR",metro,OR,OR
10580,"Albany-Schenectady-Troy, NY",metro,NY,NY
10620,"Albemarle, NC",micro,NC,NC
10660,"Albert Lea, MN",micro,MN,MN
10700,"Albertville, AL",micro,AL,AL
10740,"Albuquerque, NM",metro,NM,NM
10760,"Alexander City, AL",micro,AL,AL
10780,"Alexandria, LA",metro,LA,LA
10820,"Alexandria, MN",micro,MN,MN
10860,"Alice, TX",micro,TX,TX
10900,"Allentown-Bethlehem-Easton, PA-NJ",metro,PA,PA-NJ
10940,"Alma, MI",micro,MI,MI
10980,"Alpena, MI",micro,MI,MI
11020,"Altoona, PA",metro,PA,PA
11060,"Altus, OK",micro,OK,OK
11100,"Amarillo, TX",metro,TX,TX
11140,"Americus, GA",micro,GA,GA
11180,"Ames, IA",metro,IA,IA
11200,"Amherst Town-Northampton, MA",metro,MA,MA
11220,"Amsterdam, NY",micro,NY,NY
11260,"Anchorage, AK",metro,AK,AK
11360,"Anderson Creek, NC",micro,NC,NC
11380,"Andrews, TX",micro,TX,TX
11420,"Angola, IN",micro,IN,IN
11460,"Ann Arbor, MI",metro,MI,MI
11500,"Anniston-Oxford, AL",metro,AL,AL
11540,"Appleton, WI",metro,WI,WI
11580,"Arcadia, FL",micro,FL,FL
11620,"Ardmore, OK",micro,OK,OK
11640,"Arecibo, PR",metro,PR,PR
11660,"Arkadelphia, AR",micro,AR,AR
11680,"Arkansas City-Winfield, KS",micro,KS,KS
11700,"Asheville, NC",metro,NC,NC
11740,"Ashland, OH",micro,OH,OH
11820,"Astoria, OR",micro,OR,OR
11860,"Atchison, KS",micro,KS,KS
11900,"Athens, OH",micro,OH,OH
11940,"Athens, TN",micro,TN,TN
11980,"Athens, TX",micro,TX,TX
12020,"Athens-Clarke County, GA",metro,GA,GA
12060,"Atlanta-Sandy Springs-Roswell, GA",metro,GA,GA
12100,"Atlantic City-Hammonton, NJ",metro,NJ,NJ
12140,"Auburn, IN",micro,IN,IN
12180,"Auburn, NY",micro,NY,NY
12220,"Auburn-Opelika, AL",metro,AL,AL
12260,"Augusta-Richmond County, GA-SC",metro,GA,GA-SC
12300,"Augusta-Waterville, ME",micro,ME,ME
12380,"Austin, MN",micro,MN,MN
12420,"Austin-Round Rock-San Marcos, TX",metro,TX,TX
12460,"Bainbridge, GA",micro,GA,GA
12520,"Baker City, OR",micro,OR,OR
12540,"Bakersfield-Delano, CA",metro,CA,CA
12580,"Baltimore-Columbia-Towson, MD",metro,MD,MD
12620,"Bangor, ME",metro,ME,ME
12660,"Baraboo, WI",micro,WI,WI
12700,"Barnstable Town, MA",metro,MA,MA
12740,"Barre, VT",micro,VT,VT
12780,"Bartlesville, OK",micro,OK,OK
12860,"Batavia, NY",micro,NY,NY
12900,"Batesville, AR",micro,AR,AR
12940,"Baton Rouge, LA",metro,LA,LA
12980,"Battle Creek, MI",metro,MI,MI
13020,"Bay City, MI",metro,MI,MI
13060,"Bay City, TX",micro,TX,TX
13100,"Beatrice, NE",micro,NE,NE
13140,"Beaumont-Port Arthur, TX",metro,TX,TX
13180,"Beaver Dam, WI",micro,WI,WI
13220,"Beckley, WV",metro,WV,WV
13260,"Bedford, IN",micro,IN,IN
13300,"Beeville, TX",micro,TX,TX
13340,"Bellefontaine, OH",micro,OH,OH
13380,"Bellingham, WA",metro,WA,WA
13420,"Bemidji, MN",micro,MN,MN
13460,"Bend, OR",metro,OR,OR
13540,"Bennington, VT",micro,VT,VT
13660,"Big Rapids, MI",micro,MI,MI
13700,"Big Spring, TX",micro,TX,TX
13740,"Billings, MT",metro,MT,MT
13780,"Binghamton, NY",metro,NY,NY
