station,cbsa_code
US10adam002,25580
US10adam004,25580
US10adam008,25580
US10adam010,25580
US10adam022,25580
US10adam032,25580
US10adam051,25580
US10adam054,25580
US10adam056,25580
US10buff002,28260
US10buff004,28260
US10buff006,28260
US10buff007,28260
US10buff008,28260
US10buff036,28260
US10cass001,36540
US10clay004,25580
US10clay008,25580
US10clay009,25580
US10clay029,25580
US10colf001,18100
US10colf003,18100
US10daws001,30420
US10daws002,30420
US10daws008,30420
US10daws010,30420
US10daws011,30420
US10daws017,30420
US10doug006,36540
US10doug025,36540
US10doug059,36540
US10gage003,13100
US10gage009,13100
US10gage013,13100
US10gage020,13100
US10gage022,13100
US10gosp002,30420
US10gosp006,30420
US10hall001,24260
US10hall002,24260
US10hall004,24260
US10hall005,24260
US10hall007,24260
US10hall008,24260
US10hall009,24260
US10hall011,24260
US10hall016,24260
US10hall018,24260
US10howa005,24260
US10howa007,24260
US10howa009,24260
US10kear005,28260
US10lanc001,30700
US10lanc007,30700
US10lanc012,30700
US10lanc013,30700
US10lanc015,30700
US10lanc043,30700
US10lanc047,30700
US10lanc067,30700
US10linc003,35820
US10linc004,35820
US10linc018,35820
US10linc033,35820
US10linc035,35820
US10linc040,35820
US10linc047,35820
US10linc051,35820
US10linc060,35820
US10loga005,35820
US10madi001,35740
US10merr006,24260
US10merr009,24260
US10pier007,35740
US10pier008,35740
US10plat001,18100
US10plat023,18100
US10sarp006,36540
US10sarp016,36540
US10sarp024,36540
US10sarp031,36540
US10sarp039,36540
US10scot005,42420
US10scot014,42420
US10sewa004,30700
US10sewa005,30700
US10sewa006,30700
US10sewa023,30700
US10webs009,25580
US10webs013,25580
US10webs018,25580
US1AKAB0021,11260
US1AKAB0052,11260
US1AKFN0015,21820
US1AKMS0011,11260
US1AKMS0012,11260
US1ALBL0005,13820
US1ALBL0006,13820
US1ALBL0013,13820
US1ALBL0021,13820
US1ALBW0001,19300
US1ALBW0003,19300
US1ALBW0004,19300
US1ALBW0008,19300
US1ALBW0009,19300
US1ALBW0013,19300
US1ALBW0026,19300
US1ALBW0031,19300
US1ALBW0040,19300
US1ALBW0059,19300
US1ALBW0071,19300
US1ALCM0003,18980
US1ALCM0004,18980
US1ALCM0006,18980
US1ALCT0001,22520
US1ALCT0004,22520
US1ALCT0005,22520
US1ALCT0014,22520
US1ALDK0008,22840
US1ALDK0009,22840
US1ALDK0012,22840
US1ALDK0017,22840
US1ALDS0001,42820
US1ALEL0004,33860
US1ALEL0018,33860
US1ALEL0022,33860
US1ALEL0024,33860
US1ALJC0012,42460
US1ALJC0016,42460
US1ALJF0025,13820
US1ALJF0037,13820
US1ALJF0047,13820
US1ALJF0053,13820
US1ALJF0057,13820
US1ALLD0009,22520
US1ALLD0025,22520
US1ALLE0004,12220
US1ALLE0007,12220
US1ALLS0002,26620
US1ALLS0023,26620
US1ALLS0026,26620
US1ALMB0001,33660
US1ALMB0004,33660
US1ALMB0024,33660
US1ALMB0049,33660
US1ALMB0060,33660
US1ALMB0063,33660
US1ALMC0003,12220
US1ALMD0002,26620
US1ALMD0004,26620
US1ALMD0006,26620
US1ALMD0033,26620
US1ALMD0042,26620
US1ALMD0050,26620
US1ALMD0059,26620
US1ALMD0071,26620
US1ALMD0090,26620
US1ALMG0009,19460
US1ALMG0012,19460
US1ALMG0014,19460
US1ALMG0017,19460
US1ALMS0011,10700
US1ALMS0013,10700
US1ALMS0018,10700
US1ALMS0019,10700
US1ALMS0020,10700
US1ALMS0022,10700
US1ALMS0027,10700
US1ALMS0029,10700
US1ALMY0006,33860
US1ALMY0007,33860
US1ALMY0011,33860
US1ALRS0001,17980
US1ALSC0006,13820
US1ALSC0011,13820
US1ALSH0011,13820
US1ALSH0014,13820
US1ALSH0022,13820
US1ALSH0024,13820
US1ALSH0048,13820
US1ALSH0052,13820
US1ALTG0006,45180
US1ALTG0011,45180
US1ALTP0007,10760
US1ALTS0003,46220
US1ALTS0004,46220
US1ALTS0017,46220
US1ARBT0003,22220
US1ARBT0012,22220
US1ARBT0045,22220
US1ARBT0050,22220
US1ARBX0002,34260
US1ARBX0010,34260
US1ARBX0036,34260
US1ARCF0005,22900
US1ARCN0003,15780
US1ARFK0011,30780
US1ARFK0016,30780
US1ARFK0017,30780
US1ARGL0004,30780
US1ARGL0016,26300
US1ARGN0006,37500
US1ARGT0009,30780
US1ARJF0004,38220
US1ARLK0001,30780
US1ARML0003,45500
US1ARML0011,45500
US1ARNW0013,25460
US1ARPP0003,40780
US1ARPS0005,30780
US1ARPS0007,30780
US1ARPS0011,30780
US1ARPS0016,30780
US1ARPS0024,30780
US1ARPS0026,30780
US1ARPS0052,30780
US1ARPS0054,30780
US1ARPS0056,30780
US1ARPS0058,30780
US1ARPS0071,30780
US1ARPY0002,30780
US1ARSB0004,22900
US1ARSB0008,22900
US1ARSL0023,30780
US1ARSL0035,30780
US1ARWH0005,42620
US1ARWS0036,22220
US1AZCH0017,43420
US1AZCH0022,43420
US1AZCH0027,43420
US1AZCH0050,43420
US1AZCH0054,43420
US1AZCH0057,43420
US1AZCH0066,43420
US1AZCH0069,43420
US1AZCN0014,22380
US1AZCN0020,22380
US1AZCN0027,22380
US1AZCN0033,22380
US1AZCN0046,22380
US1AZCN0069,22380
US1AZCN0088,22380
US1AZCN0113,22380
US1AZGH0002,40940
US1AZMH0006,29420
US1AZMH0027,29420
US1AZMR0010,38060
US1AZMR0016,38060
US1AZMR0026,38060
US1AZMR0031,38060
US1AZMR0032,38060
US1AZMR0034,38060
US1AZMR0035,38060
US1AZMR0042,38060
US1AZMR0045,38060
US1AZMR0046,38060
US1AZMR0048,38060
US1AZMR0064,38060
US1AZMR0071,38060
US1AZMR0075,38060
US1AZMR0082,38060
US1AZMR0096,38060
US1AZMR0103,38060
US1AZMR0105,38060
US1AZMR0111,38060
US1AZMR0113,38060
US1AZMR0131,38060
US1AZMR0157,38060
US1AZMR0170,38060
US1AZMR0197,38060
US1AZMR0207,38060
US1AZMR0211,38060
US1AZMR0218,38060
US1AZMR0220,38060
US1AZMR0232,38060
US1AZMR0245,38060
US1AZMR0260,38060
US1AZMR0261,38060
US1AZMR0264,38060
US1AZMR0280,38060
US1AZMR0287,38060
US1AZMR0288,38060
US1AZMR0289,38060
US1AZMR0313,38060
US1AZMR0326,38060
US1AZMR0337,38060
US1AZMR0342,38060
US1AZMR0343,38060
US1AZMR0344,38060
US1AZMR0352,38060
US1AZMR0357,38060
US1AZMR0372,38060
US1AZMR0373,38060
US1AZMR0379,38060
US1AZMR0384,38060
US1AZMR0386,38060
US1AZMR0387,38060
US1AZMR0402,38060
US1AZMR0410,38060
US1AZMR0412,38060
US1AZMR0420,38060
US1AZMR0442,38060
US1AZMR0443,38060
US1AZMR0448,38060
US1AZMR0470,38060
US1AZMR0477,38060
US1AZMR0484,38060
US1AZMR0494,38060
US1AZMR0499,38060
US1AZNV0007,43320
US1AZNV0009,43320
US1AZNV0010,43320
US1AZNV0012,43320
US1AZNV0018,43320
US1AZPM0003,46060
US1AZPM0005,46060
US1AZPM0007,46060
US1AZPM0010,46060
US1AZPM0013,46060
US1AZPM0031,46060
US1AZPM0038,46060
US1AZPM0046,46060
US1AZPM0047,46060
US1AZPM0049,46060
US1AZPM0050,46060
US1AZPM0051,46060
US1AZPM0062,46060
US1AZPM0063,46060
US1AZPM0069,46060
US1AZPM0072,46060
US1AZPM0082,46060
US1AZPM0087,46060
US1AZPM0101,46060
US1AZPM0105,46060
US1AZPM0106,46060
US1AZPM0107,46060
US1AZPM0108,46060
US1AZPM0109,46060
US1AZPM0111,46060
US1AZPM0112,46060
US1AZPM0118,46060
US1AZPM0119,46060
US1AZPM0124,46060
US1AZPM0127,46060
US1AZPM0132,46060
US1AZPM0135,46060
US1AZPM0137,46060
US1AZPM0139,46060
US1AZPM0141,46060
US1AZPM0143,46060
US1AZPM0145,46060
US1AZPM0146,46060
US1AZPM0147,46060
US1AZPM0148,46060
US1AZPM0156,46060
US1AZPM0160,46060
US1AZPM0162,46060
US1AZPM0172,46060
US1AZPM0181,46060
US1AZPM0184,46060
US1AZPM0185,46060
US1AZPM0191,46060
US1AZPM0193,46060
US1AZPM0194,46060
US1AZPM0201,46060
US1AZPM0202,46060
US1AZPM0206,46060
US1AZPM0214,46060
US1AZPM0215,46060
US1AZPM0229,46060
US1AZPM0231,46060
US1AZPM0233,46060
US1AZPM0244,46060
US1AZPM0245,46060
US1AZPM0247,46060
US1AZPM0250,46060
US1AZPM0261,46060
US1AZPM0263,46060
US1AZPM0265,46060
US1AZPM0269,46060
US1AZPM0273,46060
US1AZPM0285,46060
US1AZPM0292,46060
US1AZPM0294,46060
US1AZPM0304,46060
US1AZPM0315,46060
US1AZPM0318,46060
US1AZPM0323,46060
US1AZPM0339,46060
US1AZPM0347,46060
US1AZPN0008,38060
US1AZPN0020,38060
US1AZPN0024,38060
US1AZPN0025,38060
US1AZPN0027,38060
US1AZPN0029,38060
US1AZPN0033,38060
US1AZPN0035,38060
US1AZPN0037,38060
US1AZPN0049,38060
US1AZPN0065,38060
US1AZPN0073,38060
US1AZPN0077,38060
US1AZSC0010,35700
US1AZSC0013,35700
US1AZYM0001,49740
US1AZYM0007,49740
US1AZYV0001,39150
US1AZYV0005,39150
US1AZYV0018,39150
US1AZYV0022,39150
US1AZYV0030,39150
US1AZYV0034,39150
US1AZYV0042,39150
US1AZYV0049,39150
US1AZYV0052,39150
US1AZYV0055,39150
US1AZYV0060,39150
US1AZYV0068,39150
US1AZYV0087,39150
US1AZYV0091,39150
US1AZYV0092,39150
US1AZYV0136,39150
US1CAAL0001,41860
US1CAAL0003,41860
US1CAAL0004,41860
US1CAAL0012,41860
US1CAAL0018,41860
US1CAAL0030,41860
US1CABT0009,17020
US1CABT0026,17020
US1CABT0033,17020
US1CACC0001,41860
US1CACC0004,41860
US1CACC0010,41860
US1CACC0011,41860
US1CACC0016,41860
US1CACC0018,41860
US1CACC0028,41860
US1CACC0031,41860
US1CACC0037,41860
US1CACC0040,41860
US1CADN0001,18860
US1CADN0006,18860
US1CAED0003,40900
US1CAED0010,40900
US1CAED0011,40900
US1CAED0017,40900
US1CAED0020,40900
US1CAED0023,40900
US1CAFR0002,23420
US1CAFR0008,23420
US1CAFR0014,23420
US1CAFR0026,23420
US1CAHM0004,21700
US1CAHM0005,21700
US1CAHM0009,21700
US1CAHM0014,21700
US1CAHM0022,21700
US1CAHM0026,21700
US1CAHM0029,21700
US1CAHM0030,21700
US1CAHM0035,21700
US1CAHM0038,21700
US1CAHM0044,21700
US1CAHM0046,21700
US1CAHM0048,21700
US1CAHM0052,21700
US1CAHM0060,21700
US1CAHM0063,21700
US1CAHM0066,21700
US1CAHM0073,21700
US1CAIN0012,13860
US1CAIN0013,13860
US1CAKG0003,25260
US1CAKG0004,25260
US1CAKG0005,25260
US1CAKN0001,12540
US1CAKN0013,12540
US1CAKN0022,12540
US1CAKN0026,12540
US1CALA0001,31080
US1CALA0003,31080
US1CALA0005,31080
US1CALA0009,31080
US1CALA0010,31080
US1CALA0014,31080
US1CALA0023,31080
US1CALA0031,31080
US1CALA0036,31080
US1CALA0043,31080
US1CALA0064,31080
US1CALK0009,17340
US1CALS0001,45000
US1CALS0002,45000
US1CAMA0003,23420
US1CAMA0007,23420
US1CAMA0008,23420
US1CAMA0009,23420
US1CAMD0001,46380
US1CAMD0003,46380
US1CAMD0014,46380
US1CAMD0022,46380
US1CAMD0026,46380
US1CAMR0002,41860
US1CAMR0009,41860
US1CAMR0025,41860
US1CAMR0026,41860
US1CAMR0029,41860
US1CAMR0030,41860
US1CAMR0037,41860
US1CAMT0003,41500
US1CAMT0005,41500
US1CAMT0006,41500
US1CAMT0017,41500
US1CAMT0020,41500
US1CAMT0033,41500
US1CAMT0041,41500
US1CAMT0042,41500
US1CANP0003,34900
US1CANV0001,46020
US1CANV0014,46020
US1CANV0016,46020
US1CANV0035,46020
US1CANV0036,46020
US1CANV0041,46020
US1CAOR0001,31080
US1CAOR0006,31080
US1CAOR0016,31080
US1CAOR0019,31080
US1CAOR0021,31080
US1CAOR0027,31080
US1CAOR0031,31080
US1CAOR0039,31080
US1CAPC0001,40900
US1CAPC0007,40900
US1CAPC0010,40900
US1CAPC0011,40900
US1CAPC0013,40900
US1CAPC0021,40900
US1CAPC0024,40900
US1CAPC0035,40900
US1CARV0005,40140
US1CARV0008,40140
US1CARV0015,40140
US1CARV0018,40140
US1CARV0019,40140
US1CARV0020,40140
US1CARV0027,40140
US1CARV0034,40140
US1CARV0043,40140
US1CARV0050,40140
US1CASA0002,40900
US1CASA0005,40900
US1CASA0007,40900
US1CASA0012,40900
US1CASA0029,40900
US1CASA0030,40900
US1CASB0001,42200
US1CASC0001,41940
US1CASC0003,41940
US1CASC0005,41940
US1CASC0011,41940
US1CASC0012,41940
US1CASC0015,41940
US1CASC0032,41940
US1CASC0040,41940
US1CASC0042,41940
US1CASC0045,41940
US1CASC0052,41940
US1CASC0053,42100
US1CASC0057,41940
US1CASD0001,41740
US1CASD0004,41740
US1CASD0006,41740
US1CASD0007,41740
US1CASD0008,41740
US1CASD0009,41740
US1CASD0010,41740
US1CASD0011,41740
US1CASD0012,41740
US1CASD0014,41740
US1CASD0015,41740
US1CASD0018,41740
US1CASD0022,41740
US1CASD0023,41740
US1CASD0024,41740
US1CASD0027,41740
US1CASD0029,41740
US1CASD0030,41740
US1CASD0035,41740
US1CASD0040,41740
US1CASD0047,41740
US1CASD0049,41740
US1CASD0052,41740
US1CASD0053,41740
US1CASD0054,41740
US1CASD0055,41740
US1CASD0057,41740
US1CASD0059,41740
US1CASD0060,41740
US1CASD0061,41740
US1CASD0063,41740
US1CASD0074,41740
US1CASD0076,41740
US1CASD0080,41740
US1CASD0086,41740
US1CASD0090,41740
US1CASD0097,41740
US1CASD0099,41740
US1CASD0101,41740
US1CASD0104,41740
US1CASD0105,41740
US1CASD0110,41740
US1CASD0114,41740
US1CASD0115,41740
US1CASD0120,41740
US1CASD0128,41740
US1CASD0130,41740
US1CASD0131,41740
US1CASD0132,41740
US1CASD0133,41740
US1CASD0148,41740
US1CASD0180,41740
US1CASF0004,41860
US1CASH0006,39820
US1CASH0010,39820
US1CASH0011,39820
US1CASH0018,39820
US1CASH0051,39820
US1CASH0056,39820
US1CASH0068,39820
US1CASH0071,39820
US1CASJ0001,44700
US1CASJ0004,44700
US1CASJ0005,44700
US1CASJ0011,44700
US1CASM0001,41860
US1CASM0006,41860
US1CASM0007,41860
US1CASM0015,41860
US1CASM0016,41860
US1CASM0022,41860
US1CASM0032,41860
US1CASN0016,42220
US1CASN0029,42220
US1CASN0049,42220
US1CASN0061,42220
US1CASN0062,42220
US1CASN0070,42220
US1CASN0071,42220
US1CASN0074,42220
US1CASN0080,42220
US1CASN0088,42220
US1CASN0089,42220
US1CASN0090,42220
US1CASN0098,42220
US1CASN0112,42220
US1CASN0116,42220
US1CASO0007,46700
US1CASR0009,40140
US1CASR0014,40140
US1CASR0026,40140
US1CASR0029,40140
US1CASR0034,40140
US1CASR0036,40140
US1CASR0046,40140
US1CASR0053,40140
US1CASR0055,40140
US1CASR0058,40140
US1CASR0072,40140
US1CASS0001,33700
US1CASS0006,33700
US1CAST0005,41940
US1CASZ0021,42100
US1CASZ0024,42100
US1CASZ0028,42100
US1CASZ0036,42100
US1CASZ0051,42100
US1CATH0029,39780
US1CATL0011,47300
US1CATL0017,47300
US1CAVT0001,37100
