region_id,region_name,state_name,cbsa_code,cbsa_title,match_score,match_method,needs_review
394513,"Cumberland, MD",MD,19060,"Cumberland, MD-WV",100,city+state_fuzzy,False
394988,"Pocatello, ID",ID,38540,"Pocatello, ID",100,city+state_fuzzy,False
394942,"Orangeburg, SC",SC,36700,"Orangeburg, SC",100,city+state_fuzzy,False
395126,"Statesboro, GA",GA,44340,"Statesboro, GA",100,city+state_fuzzy,False
394683,"Hobbs, NM",NM,26020,"Hobbs, NM",100,city+state_fuzzy,False
394632,"Glasgow, KY",KY,23980,"Glasgow, KY",100,city+state_fuzzy,False
394993,"Poplar Bluff, MO",MO,38740,"Poplar Bluff, MO",100,city+state_fuzzy,False
394967,"Payson, AZ",AZ,37740,"Payson, AZ",100,city+state_fuzzy,False
395234,"Winona, MN",MN,49100,"Winona, MN",100,city+state_fuzzy,False
394919,"Norfolk, NE",NE,35740,"Norfolk, NE",100,city+state_fuzzy,False
395043,"Ruston, LA",LA,40820,"Ruston, LA",100,city+state_fuzzy,False
394918,"Nogales, AZ",AZ,35700,"Nogales, AZ",100,city+state_fuzzy,False
394876,"Montrose, CO",CO,33940,"Montrose, CO",100,city+state_fuzzy,False
753918,"Shawano, WI",WI,43020,"Shawano, WI",100,city+state_fuzzy,False
753904,"Marion, NC",NC,32000,"Marion, NC",100,city+state_fuzzy,False
394895,"Muscatine, IA",IA,34700,"Muscatine, IA",100,city+state_fuzzy,False
394434,"Cambridge, OH",OH,15740,"Cambridge, OH",100,city+state_fuzzy,False
395227,"Williston, ND",ND,48780,"Williston, ND",100,city+state_fuzzy,False
395099,"Sikeston, MO",MO,43460,"Sikeston, MO",100,city+state_fuzzy,False
394888,"Mount Vernon, IL",IL,34500,"Mount Vernon, IL",100,city+state_fuzzy,False
394745,"Kill Devil Hills, NC",NC,28620,"Kill Devil Hills, NC",100,city+state_fuzzy,False
394702,"Hutchinson, MN",MN,26780,"Hutchinson, MN",100,city+state_fuzzy,False
753878,"Dayton, TN",TN,,,57,unmatched,True
395093,"Sheridan, WY",WY,43260,"Sheridan, WY",100,city+state_fuzzy,False
394921,"North Vernon, IN",IN,,,45,unmatched,True
394340,"Ashtabula, OH",OH,,,62,unmatched,True
395140,"Sunbury, PA",PA,44980,"Sunbury, PA",100,city+state_fuzzy,False
394373,"Beaver Dam, WI",WI,13180,"Beaver Dam, WI",100,city+state_fuzzy,False
394980,"Pine Bluff, AR",AR,38220,"Pine Bluff, AR",100,city+state_fuzzy,False
394755,"Kokomo, IN",IN,29020,"Kokomo, IN",100,city+state_fuzzy,False
394999,"Portsmouth, OH",OH,39020,"Portsmouth, OH",100,city+state_fuzzy,False
394360,"Baraboo, WI",WI,12660,"Baraboo, WI",100,city+state_fuzzy,False
394490,"Columbus, MS",MS,18060,"Columbus, MS",100,city+state_fuzzy,False
394737,"Kearney, NE",NE,28260,"Kearney, NE",100,city+state_fuzzy,False
394582,"Fairmont, WV",WV,21900,"Fairmont, WV",100,city+state_fuzzy,False
394721,"Jasper, IN",IN,27540,"Jasper, IN",100,city+state_fuzzy,False
394366,"Batesville, AR",AR,12900,"Batesville, AR",100,city+state_fuzzy,False
395029,"Rochelle, IL",IL,40300,"Rochelle, IL",100,city+state_fuzzy,False
395097,"Sidney, OH",OH,43380,"Sidney, OH",100,city+state_fuzzy,False
395189,"Vicksburg, MS",MS,46980,"Vicksburg, MS",100,city+state_fuzzy,False
395081,"Sedalia, MO",MO,42740,"Sedalia, MO",100,city+state_fuzzy,False
394554,"Easton, MD",MD,20660,"Easton, MD",100,city+state_fuzzy,False
394522,"DeRidder, LA",LA,19760,"DeRidder, LA",100,city+state_fuzzy,False
394973,"Peru, IN",IN,37940,"Peru, IN",100,city+state_fuzzy,False
394417,"Brookhaven, MS",MS,15020,"Brookhaven, MS",100,city+state_fuzzy,False
394984,"Plainview, TX",TX,38380,"Plainview, TX",100,city+state_fuzzy,False
394962,"Paris, TN",TN,37540,"Paris, TN",100,city+state_fuzzy,False
394725,"Jesup, GA",GA,27700,"Jesup, GA",100,city+state_fuzzy,False
394740,"Kennett, MO",MO,28380,"Kennett, MO",100,city+state_fuzzy,False
395100,"Silver City, NM",NM,43500,"Silver City, NM",100,city+state_fuzzy,False
394882,"Moses Lake, WA",WA,34180,"Moses Lake, WA",100,city+state_fuzzy,False
394925,"Oak Harbor, WA",WA,36020,"Oak Harbor, WA",100,city+state_fuzzy,False
394345,"Athens, TX",TX,11980,"Athens, TX",100,city+state_fuzzy,False
394541,"DuBois, PA",PA,20180,"DuBois, PA",100,city+state_fuzzy,False
394994,"Port Angeles, WA",WA,38820,"Port Angeles, WA",100,city+state_fuzzy,False
394593,"Findlay, OH",OH,22300,"Findlay, OH",100,city+state_fuzzy,False
753893,"Jefferson, GA",GA,27600,"Jefferson, GA",100,city+state_fuzzy,False
394647,"Greeneville, TN",TN,24620,"Greeneville, TN",100,city+state_fuzzy,False
394655,"Greenwood, SC",SC,24940,"Greenwood, SC",100,city+state_fuzzy,False
394752,"Klamath Falls, OR",OR,28900,"Klamath Falls, OR",100,city+state_fuzzy,False
394922,"North Wilkesboro, NC",NC,35900,"North Wilkesboro, NC",100,city+state_fuzzy,False
394618,"Fremont, OH",OH,23380,"Fremont, OH",100,city+state_fuzzy,False
394363,"Bartlesville, OK",OK,12780,"Bartlesville, OK",100,city+state_fuzzy,False
394906,"New Castle, IN",IN,35220,"New Castle, IN",100,city+state_fuzzy,False
394431,"Cadillac, MI",MI,15620,"Cadillac, MI",100,city+state_fuzzy,False
394504,"Cortland, NY",NY,18660,"Cortland, NY",100,city+state_fuzzy,False
394477,"Clinton, IA",IA,17540,"Clinton, IA",100,city+state_fuzzy,False
395155,"Thomasville, GA",GA,45620,"Thomasville, GA",100,city+state_fuzzy,False
394667,"Harrison, AR",AR,25460,"Harrison, AR",100,city+state_fuzzy,False
395129,"Stephenville, TX",TX,44500,"Stephenville, TX",100,city+state_fuzzy,False
394845,"McMinnville, TN",TN,32660,"McMinnville, TN",100,city+state_fuzzy,False
394715,"Jacksonville, IL",IL,27300,"Jacksonville, IL",100,city+state_fuzzy,False
394422,"Brownwood, TX",TX,15220,"Brownwood, TX",100,city+state_fuzzy,False
394499,"Corinth, MS",MS,18420,"Corinth, MS",100,city+state_fuzzy,False
394569,"Emporia, KS",KS,21380,"Emporia, KS",100,city+state_fuzzy,False
395084,"Seneca Falls, NY",NY,42900,"Seneca Falls, NY",100,city+state_fuzzy,False
394414,"Brevard, NC",NC,14820,"Brevard, NC",100,city+state_fuzzy,False
394310,"Albert Lea, MN",MN,10660,"Albert Lea, MN",100,city+state_fuzzy,False
394320,"Alpena, MI",MI,10980,"Alpena, MI",100,city+state_fuzzy,False
753879,"Elkins, WV",WV,21180,"Elkins, WV",100,city+state_fuzzy,False
394615,"Fredericksburg, TX",TX,23240,"Fredericksburg, TX",100,city+state_fuzzy,False
394601,"Forrest City, AR",AR,22620,"Forrest City, AR",100,city+state_fuzzy,False
394311,"Albertville, AL",AL,10700,"Albertville, AL",100,city+state_fuzzy,False
394911,"New Philadelphia, OH",OH,35420,"New Philadelphia-Dover, OH",100,city+state_fuzzy,False
394641,"Grants Pass, OR",OR,24420,"Grants Pass, OR",100,city+state_fuzzy,False
394907,"New Castle, PA",PA,,,55,unmatched,True
395212,"Watertown, WI",WI,48020,"Watertown-Fort Atkinson, WI",100,city+state_fuzzy,False
394395,"Bloomsburg, PA",PA,14100,"Bloomsburg-Berwick, PA",100,city+state_fuzzy,False
394465,"Chillicothe, OH",OH,17060,"Chillicothe, OH",100,city+state_fuzzy,False
395132,"Stevens Point, WI",WI,44620,"Stevens Point-Plover, WI",100,city+state_fuzzy,False
394877,"Morehead City, NC",NC,33980,"Morehead City, NC",100,city+state_fuzzy,False
395021,"Richmond, IN",IN,39980,"Richmond, IN",100,city+state_fuzzy,False
753903,"Marietta, OH",OH,31930,"Marietta, OH",100,city+state_fuzzy,False
394362,"Barre, VT",VT,12740,"Barre, VT",100,city+state_fuzzy,False
394456,"Charleston, IL",IL,16660,"Charleston-Mattoon, IL",100,city+state_fuzzy,False
394432,"Calhoun, GA",GA,15660,"Calhoun, GA",100,city+state_fuzzy,False
394517,"Danville, KY",KY,19220,"Danville, KY",100,city+state_fuzzy,False
395204,"Warrensburg, MO",MO,47660,"Warrensburg, MO",100,city+state_fuzzy,False
394634,"Gloversville, NY",NY,24100,"Gloversville, NY",100,city+state_fuzzy,False
395073,"Scottsboro, AL",AL,42460,"Scottsboro, AL",100,city+state_fuzzy,False
394963,"Paris, TX",TX,37580,"Paris, TX",100,city+state_fuzzy,False
395091,"Shelbyville, TN",TN,43180,"Shelbyville, TN",100,city+state_fuzzy,False
394628,"Gardnerville Ranchos, NV",NV,23820,"Gardnerville Ranchos, NV-CA",100,city+state_fuzzy,False
